Formula,Name,IUPAC Standard InChIKey,EA_,IE_,SMILES,EA,IE
C8H6O3,"7-Oxabicyclo[2.2.1]heptane-2,5-dione, 3,6-dimethylidene-",YIHLCAOATGPYBG-UHFFFAOYSA-N,,9.1,C=C1C2C(=O)C(=C)C(C1=O)O2,1.213262299,8.17042384
C8H6O3,"1,4-Cyclohexadiene-1,2-dicarboxylic anhydride",XCGJCRKHWHYKIE-UHFFFAOYSA-N,,,C1C=CCC2=C1C(=O)OC2=O,1.153637556,9.031940426
C8H6O3,"Benzoic acid, 2-formyl-",DYNFCHNNOHNJFG-UHFFFAOYSA-N,,,C1=CC=C(C(=C1)C=O)C(=O)O,0.937408066,8.22994246
C8H6O3,"Benzoic acid, 3-formyl-",UHDNUPHSDMOGCR-UHFFFAOYSA-N,,,C1=CC(=CC(=C1)C(=O)O)C=O,0.804844237,-
C10H10N2O3,"2-Butenamide,N-(4-nitrophenyl)-",MTICSDUTLDMTET-NSCUHMNNSA-N,,9.1,CC=CC(=O)NC1=CC=C(C=C1)[N+](=O)[O-],1.169458031,8.059609763
C10H10N2O3,"6-Nitro-5-hydroxy-1,2-dimethylindole",LDKJCZFMASHXCF-UHFFFAOYSA-N,,,CC1=CC2=CC(=C(C=C2N1C)[N+](=O)[O-])O,0.444782843,-
C10H10N2O3,"4-Nitro-5-hydroxy-1,2-dimethylindole",AAHRWLRCEUVGFY-UHFFFAOYSA-N,,,CC1=CC2=C(N1C)C=CC(=C2[N+](=O)[O-])O,0.805072809,7.489928431
C10H10N2O3,"6,7-Dihydro-2-methyl-5-oxo-5h-pyrrolo[3,4-b] pyridine-7-acetic acid",VUAARPKSXOIOJN-UHFFFAOYSA-N,,,,0.136335273,8.039389269
C10H10N2O3,"1H-Indole, 1-acetyl-2,3-dihydro-6-nitro-",RLXSSISTKOLICZ-UHFFFAOYSA-N,,,CC(=O)N1CCC2=C1C=C(C=C2)[N+](=O)[O-],0.753137895,-
C20H15N3,"4H-1,2,4-Triazole, 3,4,5-triphenyl-",LLTSIOOHJBUDCP-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2=NN=C(N2C3=CC=CC=C3)C4=CC=CC=C4,-,7.865976287
C20H15N3,"1H-1,2,4-Triazole, 1,3,5-triphenyl-",ZUADNMDNEIWVSE-UHFFFAOYSA-N,,,C1=CC=C(C=C1)C2=NN(C(=N2)C3=CC=CC=C3)C4=CC=CC=C4,-,7.103918627
C22H14,"Dibenz[a,h]anthracene",LHRCREOYAASXPZ-UHFFFAOYSA-N,0.595,7.38,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,0.691570286,6.799166311
C22H14,Benzo[b]triphenylene,RAASUWZPTOJQAY-UHFFFAOYSA-N,,7.39,C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1,0.679494044,6.872587031
C22H14,Benzo[b]chrysene,YYGRIGYJXSQDQB-UHFFFAOYSA-N,,7.14,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC5=CC=CC=C5C=C43,0.882583343,6.636117999
C22H14,Picene,GBROPGWFBFCKAG-UHFFFAOYSA-N,0.542,7.48,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CC5=CC=CC=C54,0.513221229,6.899161294
C22H14,Pentacene,SLIUAWYAILUBJU-UHFFFAOYSA-N,1.392,6.61,C1=CC=C2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2=C1,1.523854095,6.073606765
C22H14,"Dibenz[a,j]anthracene",KLIHYVJAYWCEDM-UHFFFAOYSA-N,0.591,7.4,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5=CC=CC=C5C=C4,0.677270906,6.850608707
