SMILE,SRP
C1=CC2=C(N=C1)N(C=C2[N+](=O)[O-])CC(CO)O,-0.607
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-],-0.272
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCCCC[N](CC)(CC)CC,0.864
CS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],-0.368
CC1=CC(=O)C(=CC1=O)C,-0.067
O=C(CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC(=O)OO)OO,-0.431
CN1C=NC(=C1I)[N+](=O)[O-],-0.529
CC1=NC=C(N1CC(COC)O)[N+](=O)[O-]  ,-0.479
C[C](C)O,-0.37
C1=CC(=C(C=C1[C@H](CN)O)O)O,0.044
CC1=NC(=CN1CC(COC)O)[N+](=O)[O-],-0.564
ClC3=C2C=CC1=CC=C[N+]4=C1C2=[N+](C=C3)CCC4,-0.11
CC1=NNC(=O)C1,0.39
C1=CN=C([N]1CCCN2CCOCC2)[N+](=O)[O-],-0.386
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,0.877
C1CSS[C@@H]1CCCCC(=O)O,1.13
CC[N+]1=CC=C(C=C1)C#N,-0.626
CCOC(=O)C1=C2C(=O)C=C(C(=O)C2=C(N1C)C3=CC=CC=C3)C,-0.366
C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCC(CO)O,-0.392
CC(=O)OCCN(CCOC(=O)C)C1=CC=C(C2=C(C3=CC=CC=C3N=C12)NCCCN(C)C)[N+](=O)[O-],-0.314
CSC(=C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C)SC,-0.33
C1=CC=C(C=C1)[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)C4=CC=CC=C4,-0.288
CN(C)C(=O)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(=O)N(C)C,-0.301
CO[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)OC,-0.651
C1(=CC=C(C=C1)[CH2])CN,1.14
CCO[CH]C,-0.21
C[N+]1=CC3=C(C=C1)C2=C[N+](=CC=C2C=C3)C,-0.44
C[N+]1=CC2=C(C=C1)C3=C(C=C2)C=[N+](C=C3)C,-0.374
C=CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC#N,-0.383
[CH2-]C1=CC(=CC=C1)C(F)(F)F,-0.96
C1CO[CH]O1,0.55
[CH-]1[CH-][CH-][CH-][CH-]1.[CH-]1C=CC=C1.[Fe],0.75
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,0.827
C1=CC(=CC=C1[CH2])Cl,0.97
CN1C2=C(C=C(C=C2)C3=CC=CC=C3)SC4=CC=CC=C41,0.679
C1=CC2=C(C3=C(C=CC=[NH+]3)C=C2)[NH+]=C1,-0.54
C[N+]1=CC=CC=C1C2=CC=CC=[N+]2C,-0.776
C1CSC2=NC=C(N21)[N+](=O)[O-],-0.467
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)CCC[S](=O)(=O)[O-])C)CCC[S](=O)(=O)[O-],-0.46
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,0.944
CCC[N+]1=CC=C(C=C1)C2=CC(=[N+](C=C2)CCC)C,-0.5
CN1C=NC(=C1S(=O)(=O)C)[N+](=O)[O-],-0.355
[CH2]C1=CC=CC=C1,0.97
CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N,0.65
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)N2CCOCC2,-0.334
C1OCO[CH]O1,0.44
CN(C)CN[S](=O)(=O)C1=C([N+]([O-])=O)N=C[N]1C,-0.402
C[C](C1=CC=CC=C1)C2=CC=CC=C2,0.47
CN1C(=CN=C1[N+](=O)[O-])C=NN(C)C,-0.386
CN1C=NC(=C1S(=O)(=O)OC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],-0.302
CC1C=NNC1=O,0.32
CCCNC(=O)CN1C=CN=C1[N+](=O)[O-],-0.388
C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CNC2=CC=CC=C21)N,0.0
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C,-0.39
C1COCCN1CCCCCCN2C=CN=C2[N+](=O)[O-],-0.379
CC1=CNC(=O)NC1=O,0.78
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H],0.81
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],1.41
C1=NC2=C(N1)C(=O)NC(=N2)N,0.62
C1=CC=C2C(=C1)C(=O)C=C(C2=O)S(=O)(=O)O,-0.06
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],0.78
COC(=O)CN1C=CN=C1[N+](=O)[O-],0.355
CC(C)[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C(C)C,-0.45
C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCCCC2)[H],-0.376
COC1=CC2=C(C=C1)OC(=C2)[N+](=O)[O-],-0.292
C1COCCN1CCCCCN2C=CN=C2[N+](=O)[O-],-0.399
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC[N+]3=CC=C(C=C3)C4=CC=[N+](C=C4)C,-0.28
CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)CCCl)C)CCCl,-0.422
CN1C(=CN=C1[N+](=O)[O-])C(=O)OC,-0.3
CCOC(=O)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(=O)OCC,-0.422
C1=CC2=C(C=CN2)C=C1O,0.216
CN1C=NC(=C1SCC(=O)O)[N+](=O)[O-],-0.545
CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,-0.509
C1=CC(=CC=C1O)O,1.041
C1(C=C(C(C(=C1)C)=O)Br)=C2C=C(C(C(=C2)Br)=O)Br,0.26
C2(=NC1=NSN=C1N=C2C3=CC=CC=N3)C4=NC=CC=C4,-0.236
C1=CC2=C(C=C1CCl)C(=O)C=CC2=O,-0.094
CN(C)C1=CC=C(C=C1)O,0.174
C1=C[CH]C=C1.C1=C[CH]C=C1.[Fe],0.27
C1=CC=C(C=C1)[N+](=O)[O-],-0.486
C[N+]2=CC1=C3C(=CC=C1C=C2)[N+](=CC=C3)C,-0.302
CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)N(C(=O)N3)C,-0.535
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,0.187
CN(C)CC(CN1C=CN=C1[N+](=O)[O-])O,-0.351
CN(C)CCCN2C1=CC(=CC=C1SC3=CC=CC=C23)O,0.625
C2(=NC1=NSN=C1N=C2C3=CC=CO3)C4=CC=CO4,-0.374
CN1C=CC2=CC=CC=C21,1.23
C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,0.282
C1(=CC=C(C=C1)[CH2-])OC,-1.51
C=CC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(=O)O,-0.39
C[CH-]C1=CC=CC=C1,-1.34
C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],-0.264
CCOC(=O)CN1C=NC(=C1I)[N+](=O)[O-],-0.436
CN1C2=C(C(=O)N(C1=O)C)NC(=N2)[N+](=O)[O-],-0.494
C=C(CC)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCOC,-0.396
C(N1CCN(CC1)CCCN3C2=CC=CC=C2SC4=C3C=C(C=C4)[S](=O)(=O)N(C)C)CO,0.83
O\N=C(\C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C\C(=N\O)[H])[H],-0.325
CC1=CC(=O)C(=C(C1=O)C)C,-0.165
C1=CC(=CC=C1[N+](=O)[O-])[N+](=O)[O-],-0.257
CC1=C(C=C[N+](=C1)C)C2=C(C=[N+](C=C2)C)C,-0.83
CC1=[N+](C(=CC(=C1)C2=CC(=[N+](C(=C2)C)CCC[S](=O)(=O)[O-])C)C)CCC[S](=O)(=O)[O-],-0.54
C1=CC=C2C(=C1)SC3=CC=CC=C3S2,1.61
CN1C=NC(=C1[N+](=O)[O-])I,-0.461
C1=CC=C2C(=C1)C(=CN2)CCN,0.0
CC1=CC=C(C2=C(C3=CC=CC=C3N=C12)NCCCN(C)C)[N+](=O)[O-],-0.321
CN1C(=CN=C1[N+](=O)[O-])CO,-0.4
CN1C=NC(=C1[N+](=O)[O-])S(=O)(=O)OC2=CC=CC=C2,-0.259
C1=CC=C2C(=C1)NC3=C(S2)C=C(C=C3)Cl,0.763
C[N+]1=C(C=CC2=CC=CC=C21)C3=[N+](C4=CC=CC=C4C=C3)C,-0.25
C1=CC3=C(C=C1OC)SC2=C(C=CC(=C2)OC)N3,0.475
C[C-](C1=CC=CC=C1)C2=CC=CC=C2,-1.1
C1(=CC=C(C=C1O)CC(C(O)=O)N)O,0.014
COC1=CC=CC2=C1OC(=C2)[N+](=O)[O-],-0.296
C1CCN(C1)CCCCN2C=CN=C2[N+](=O)[O-],-0.389
C[N+]1=CC=CC2=C1C3=C(C=CC=[N+]3C)C=C2,-0.51
CC1=CC=C(C=C1)C2=[N+](C=CC(=C2)C3=CC(=[N+](C=C3)C)C4=CC=C(C=C4)C)C,-0.439
C1=C(NC(=N1)[N+](=O)[O-])CN,-0.267
C13=C(C=CC=C1)[S-](C2=C(C=CC=C2)N3)[O+],0.8
C=C(C)C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(N)=O,-0.336
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCN4CCN(CC4)CCO,0.762
C1=C(NC(=N1)[N+](=O)[O-])C=O,-0.243
COC1=CC=C(C=C1)O,0.32
CC1=CC2=[N+](CCCC[N+]3=C2C=C(C=C3)C)C=C1,-0.78
C1(=C[N+]3=C(C=C1)C2=[N+](C=CC=C2)CC3)C#N,0.0
C1=CC=[N+]2C=C3C(=CC2=C1)C=CC4=CC5=CC=CC=[N+]5C=C43,-0.3
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,-0.433
C1=CNC(=O)NC1=O,0.87
CN1CC(C2=CC(=O)C(=O)C=C21)O,-0.253
CCCCNC(=O)C1=CC=C(O1)[N+](=O)[O-],-0.23
CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2Cl)[N+](=O)[O-],-0.444
C[N+](C)(C)CCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC[N+](C)(C)C,-0.331
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[Fe+2],1.147
C1=CC2=C(C(=C1)N)C(=O)N=NC2=O,0.24
