,SMILE,ph,SRP,solvent_-,solvent_1 M H2SO4,solvent_CH2Cl2,solvent_CH3CN,solvent_H2O,solvent_MeCN,solvent_PBS buffer,solvent_iso-propyl alcohol,type_anion,type_neutral,type_radical
750,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3C,7.0,-0.509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
101,C1=CC=C(C(=C1)O)O,7.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
199,OC(C1=C(O)C=CC(O)=C1C2O)C3=C2C(O)=C(O)C=C3,13.5,-0.073,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
672,CCCCCCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCCCCCC,7.0,-0.451,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
357,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCOC(=O)O)NCCNCCOC(=O)O,7.0,-0.348,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
309,C[CH-]C1=CC=CC=C1,7.0,-1.34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
390,CC(=O)C1=CC(=CC=C1)[N+](=O)[O-],7.0,-0.437,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
260,C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,3.5,0.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
433,CN1C(=CN=C1[N+](=O)[O-])C=NN2CCOCC2,7.0,-0.366,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
316,C1=CC=CC2=C1[CH]C3C2C=CC=C3,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
327,C1=CC(=O)C=CC1=O,7.0,0.078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2,C1=CC=C[C-]1[Fe+2][C-]1C(C=CC(=O)O)=CC=C1,7.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
468,C1COCCN1CCCCCCCCN2C=CN=C2[N+](=O)[O-],7.0,-0.388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
516,CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2OC)[N+](=O)[O-],7.0,-0.408,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
816,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H],7.0,0.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
852,CN(C)CCCN2C1=CC(=CC=C1SC3=CC=CC=C23)O,7.0,0.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
158,CC1=C(C)C(C2=CC=CC=C2C1[O-])[O],7.0,-0.24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
526,CCOC(=O)CN1C=NC(=C1I)[N+](=O)[O-],7.0,-0.436,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
848,C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CCCN4CCC(CC4)C,7.0,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
572,CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)C(=O)OC)[N+](=O)[O-] ,7.0,-0.244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
583,C1=CN=CC=C1[N+](=O)[O-],7.0,-0.191,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
444,COCCN1C=CN=C1[N+](=O)[O-],7.0,-0.393,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
589,C[N+]1=CC=CC=C1C2=CC=CC=[N+]2C,7.0,-0.776,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
448,CCCNC(=O)CN1C=CN=C1[N+](=O)[O-],7.0,-0.388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
531,CN1C=NC([N]([O-])=O)C1=O,7.0,-0.439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
613,C1C([N+]2=CC=CC=C2C3=CC=CC=[N+]31)C4=CC=CC=C4,7.0,-0.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
365,C2(C1=C[N](C(=C1C(C(=C2C)C)=O)C)C)=O,7.0,-0.452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
368,C2(C1=C([N]3C(=C1C(C(=C2C)OC)=O)CCC3)C(OCC)=O)=O,7.0,-0.383,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
743,CC1(CC(=NC=C1)C2=CC=CC=N2)C,7.0,-1.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
424,CN1C(=CN=C1[N+](=O)[O-])C=C,7.0,-0.392,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
666,CCOC(C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC(OCC)OCC)OCC,7.0,-0.373,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
212,OC(C1C(C(C(O1)=O)[O-])[O])CO,7.0,-0.175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
79,COC1=CC([O])C=C(C1[O-])OC,7.0,-0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
148,CC1=CC(C2=CC=CC=C2C1O)O,7.0,-0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
266,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,3.5,0.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
408,C1=C(OC(=C1)[N+](=O)[O-])C(=O)O,7.0,-0.317,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
280,C1=CC=C(C=C1CN)[CH2],7.0,1.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
478,CC(C)N(CC[N]1C=CN=C1([N+]([O-])=O)C(C)C,7.0,-0.272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
275,C1=C(C=CC=C1[CH2])C,7.0,0.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,C1CN1C2=C(C([O-])C(=C(C2[O])Cl)N3CC3)Cl,7.0,0.051,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
482,CC(C)(C)CN(CC(O)C[N]1C=CN=C1([N+]([O-])=O)C(C)(C)C,7.0,-0.348,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
752,C1=C(C(=CC2=C1N=C3C(=N2)C(=O)N(C(=O)N3C)C)C)C,7.0,-0.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
708,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CC#[S]NC3=CC=CC=C3,7.0,-0.357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
483,C1=CC=C(C=C1)CNCC(CN2C=CN=C2[N+](=O)[O-])O,7.0,-0.353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
768,C1=CC(=CC=C1CC(C(=O)O)N)O,7.0,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
869,C1(=C(C(=C(C2=C1OC(CC2)(C)C(=O)O)C)O)C)C,7.0,0.192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
281,C1(=CC=C(C=C1)[CH2-])OC,7.0,-1.51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
591,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,7.0,-0.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
832,CN1C2=C(C=C(C=C2)C3=CC=CC=C3)SC4=CC=CC=C41,7.0,0.679,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
689,CC1=[N+](C=CC(=C1)C2=CC(=[N+](C=C2)CCCl)C)CCCl,7.0,-0.422,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
172,C1=CC(O)C2=NC=CN=C2C1O,7.0,-0.163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
590,C1=CC=[N+](C(=C1)C2=CC=CC=[N+]2CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-],7.0,-0.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
652,N#CCCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCCC#N,7.0,-0.362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
793,C1=C(C=C(C(=C1O)O)O)CCN,7.0,0.042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
819,C1=NC2=C(N1)C(=O)NC=N2,7.0,0.74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
90,CC1=C(C([O-])C(=CC1[O])C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C,7.0,-0.165,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
853,CN(C)CCCN2C1=CC(=CC=C1SC3=CC=CC=C23)OC,7.0,0.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
181,[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(O)=C13,11.0,-0.304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
543,CC1=NC=C(N1C)[N+](=O)[O-],7.0,-0.475,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
812,C1C(=O)NC(=O)NC1=O,7.0,0.79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
69,CC(C)(C)C1=CC([O])C=CC1[O-],7.0,-0.025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
291,C1=CC=C(C=C1)[C](C2=CC=CC=C2)O,7.0,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,[O-]C1C(Cl)=C(Cl)C([O])C(Cl)=C1Cl,7.0,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
346,C1=CC2=C(C=C1CBr)C(=O)C=CC2=O,7.0,-0.092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
799,C1=CC2=C(C=CN2)C=C1O,7.0,0.216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
135,[O]C1C=CC2=CC=CC=C2C1[O-],7.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
164,[O-]C1C2=CC=CC=C2C([O])C(SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O)=C1SCC(NC(CCC(N)C(O)=O)=O)C(NCC(O)=O)=O,7.0,-0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28,C[N+](C)(C)CC1=C[C-](C=C1)[Fe+2][C-]2C=CC=C2.[X-],7.0,0.634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
512,CN1C=NC(=C1S(=O)(=O)NC2=CC=CC=C2Cl)[N+](=O)[O-],7.0,-0.444,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
193,OC1C2=CC=CC=C2C(O)C3=C1C=CC(S(=O)([O-])=O)=C3,7.0,-0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
319,C1C[CH]OC1,7.0,-0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
582,COC1=CC2=C(C=C1)OC(=C2)[N+](=O)[O-],7.0,-0.292,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
169,CC1=CC(O)C2=C(C1O)C=CC=N2,7.0,-0.279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
405,C1=C(C(=CC(=C1N)[N+](=O)[O-])[N+](=O)[O-])C(=O)N,7.0,-0.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
140,[O]C1C=C(O)C2=CC=CC=C2C1[O-],7.0,-0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
173,CC1=C(N=C2C(O)C=CC(O)C2=N1)C,7.0,-0.211,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,O=C(O)C(N)CSCC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,7.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
903,C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Os+2],7.0,0.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
685,CC1=CC(=CC(=[N+]1C)C)C2=CC(=[N+](C(=C2)C)C)C,7.0,-0.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
73,CC(C)(C)C1=CC(O)C=CC1O,7.0,0.489,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
631,C1=C[N+]4=C2C(=C1)C=CC3=C2[N+](=CC=C3)CCCC4,7.0,-0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
535,CN1C=NC(=C1[N+](=O)[O-])I,7.0,-0.461,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
606,CC1=CC2=[N+](CC[N+]3=C2C=C(C=C3)C)C=C1,7.0,-0.487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
145,OC1C2=CC=CC=C2C(O)C(S(=O)([O-])=O)=C1,7.0,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
234,CCCN1C(=C(C2=C1C([O])C(=C(C2[O-])OC)C)CO)C,7.0,-0.318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
220,O=S(C1=CC(C([O])/C(N2)=C3NC4=C(C=C(S(=O)([O-])=O)C=C4)C\3[O-])=C2C=C1)([O-])=O,7.0,-0.247,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
409,C1=C(OC(=C1)[N+](=O)[O-])/C=N\O,7.0,-0.253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
618,CC1=C[N+]2=C(C=C1)C3=[N+](CCC2)C=C(C=C3)C,7.0,-0.671,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
132,C1CN1C2=C(C([O-])C(=C(C2[O])Br)N3CC3)Br,7.0,0.032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
873,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,7.0,0.187,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
412,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],7.0,-0.264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
185,[O]C1C2=CC=CC=C2C([O-])C3=C(N)C=CC(N)=C13,11.0,-0.424,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
41,O=P([O-])([O-])OC1=CC(C2=C[C-]([Fe+2][C-]3C=CC=C3)C=C2)=CC=C1,7.0,0.424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
822,CC(CN1C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C31)N(C)C,7.0,0.701,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
108,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,7.0,0.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
436,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)O,7.0,-0.447,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,CC1=CC([O])C(=CC1[O-])C,7.0,-0.066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
333,CC1=C(C(=O)C(=C(C1=O)C)C)C,7.0,-0.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
359,CC1=CC(=O)C2=CN3CCCC3=C2C1=O,7.0,-0.42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
513,CC1=CC=CC=C1NS(=O)(=O)C2=C(N=CN2C)[N+](=O)[O-],7.0,-0.426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24,CN(C)CC1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,7.0,0.559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
363,C2(C1=C3[N](C(=C1C(C=C2)=O)C)CCC3)=O,7.0,-0.438,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
445,C1=CN(C(=N1)[N+](=O)[O-])CC(CO)O,7.0,-0.389,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
