SMILE,SRP
C1=CC=NC(=C1)C2=CC=CC=N2.C1=CC=NC(=C1)C2=CC=CC=N2.[Fe+2],0.78
CN(C)CCCNC1=C2C(=CC=C(C2=NC3=CC=CC=C31)Cl)[N+](=O)[O-],-0.325
[CH2-]C1=CC=C(C=C1)F,-1.26
[O]C1C2=CC=CC=C2C([O-])C3=C(N)C=CC(N)=C13,-0.41
C(CSSCCO)O,-1.57
C1(=CN=C([N]1C)[N+](=O)[O-])C(=NN2CCNCC2)[H],-0.354
CN1C=NC(=C1SCC(=O)O)[N+](=O)[O-],-0.545
[O]C1C2=CC=CC=C2C([O-])C(COC(NCCCl)=O)=C1,-0.122
CC(C)(C)C1=CC(O)C=CC1O,0.453
CCOCCN1C=CN=C1[N+](=O)[O-],-0.4
C1=CC=C(C=C1)C[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)CC4=CC=CC=C4,-0.37
C1=CC2=C(N=C1)N(C=C2[N+](=O)[O-])CCBr,-0.605
C1(=CC=C(C=C1)[CH2])COC,1.04
CC(C)(C)C1=CC([O])C=CC1[O-],0.219
CS(=O)(=O)CCN1C=CN=C1[N+](=O)[O-],-0.368
C1=CC=[N+]2C=C3C=CC4=C[N+]5=CC=CC=C5C=C4C3=CC2=C1,-0.272
OC1=CC=CC2=C1C(C3=C(C=CC=C3O)C2[O])[O-],-0.325
OC1C(O)=CNC(O)N1,0.132
CC1=C(C=CC(=C1)O)O,0.46
C1=CC3=C(C=C1)N(C2=C(C=CC=C2)S3)CC4CN(CCC4)C,0.783
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])OC)C(C)O,-0.302
CC1=C(C(O)C(=C(C1O)OC)OC)CC=C(C)C,0.7
C1=CC(=C(C=C1O)C(=O)O)O,0.033
C1=CC(=C(C=C1O)C(=O)O)O,0.033
CC(=O)C1=C(C=CC(=C1)O)O,0.118
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,-0.313
[CH2-]C1=CC(=CC=C1)C(F)(F)F,-0.96
CC1=C(C2=C(N1C)C([O])C=C(C2[O-])OC)C(C3=CC=CC=C3)O,-0.332
O=C(O)C1=CC=C[C-]1[Fe+2][C-]1C=CC=C1,0.519
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],0.4
CC1(CC(CC(N1)(C)C)NCC(CN2C=CN=C2[N+](=O)[O-])O)C,-0.361
C1=CC(=C(C(=C1)O)O)O,-0.009
C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-],-0.412
CC1=CNC2=CC=CC=C12,1.01
C1=CC(=C(C=C1O)CC(=O)O)O,-0.5
C1(=CC=C(C=C1)[CH2])CN,1.14
CCOC(=O)C(C#N)[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,-0.287
C1=CC(=CC(=C1)O)O,0.304
C1=CN=C([N]1CCCN2CCCCC2)[N+](=O)[O-],-0.353
CN1C(=C(C2=C1C([O])C=C(C2[O-])OC)CO)C3=CC=CC=C3,-0.315
CCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC(=O)OC,-0.408
C[N+](C)(C)CCC[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)CCC[N+](C)(C)C,-0.331
CC1=CC(O)C(=CC1O)C,0.426
C1=NC(=C(N1CC(CO)O)I)[N+](=O)[O-],-0.512
C2(=CC=C(C=C2)C)[CH2],0.75
CCO[CH]C,-0.21
CC2=[N+]1CCC[N+]3=C(C1=CC=C2)C=CC=C3,-0.59
OC1C2=CC=CC=C2C(O)C(S(=O)([O-])=O)=C1,0.3
C([C@@H](C(=O)O)N)S,0.11
CN(C)CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-],-0.275
COC1=C2C(=CC=C1)SC3=CC=CC=C3N2,0.698
C[N+]1=CC=C(C=C1)C(=O)OC,-0.72
CN1CC(C2=CC(=O)C(=O)C=C21)O,-0.253
C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,0.079
C[N+]1=CC=C(C=C1)C2=CC=CC=[N+]2C,-0.64
CCN(CC)[CH]C,-0.88
CN1C(=CN=C1[N+](=O)[O-])CO,-0.4
C[C](C1=CC=CC=C1)C2=CC=CC=C2,0.47
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)S(=O)(=O)[O-])O,-0.27
CC1=C([C-](C(C)=C1C)(C)[Fe+2][C-]2(C)C(C)=C(C)C(C)=C2C)C,0.654
CNC(=O)OCC1=CC2=C(C=C1)C(=O)C=CC2=O,-0.099
C1=CC=C2C(=C1)C3C=CC=CC3C(=O)C2=O,-0.124
O=[N](=O)C1=NC=C[N]1CC(O)CN2CC2,-0.398
