SMILE,solvent,type,ph,SRP
CC1=C(C/C=C(CCCC(CCCC(CCCC(C)C)C)C)\C)C(C2=CC=CC=C2C1[O])[O-],H2O,anion,7.0,-0.17
CC1=C(C/C=C(CCCC(CCCC(CCCC(C)C)C)C)\C)C(C2=CC=CC=C2C1O)O,H2O,neutral,7.0,0.22
CC1=C(C/C=C(CCCC(CCCC(CCCC(C)C)C)C)\C)C(C2=CC=CC=C2C1O)O,H2O,neutral,7.0,-0.06
C1=CC2=C(C(O)C=CC2O)N=C1,H2O,neutral,7.0,-0.218
CC1=CC(O)C2=C(C1O)C=CC=N2,H2O,neutral,7.0,-0.279
CC1=CC(O)C2=C(C1O)N=CC=C2,H2O,neutral,7.0,-0.282
CC1=C(C(O)C2=C(C1O)C=CC=N2)C,H2O,neutral,7.0,-0.317
C1=CC(O)C2=NC=CN=C2C1O,H2O,neutral,7.0,-0.163
CC1=C(N=C2C(O)C=CC(O)C2=N1)C,H2O,neutral,7.0,-0.211
[O]C1C2=CC=CC=C2C([O-])C3=CC=CC=C13,H2O,anion,7.0,-0.445
[O]C1C2=CC=CC=C2C([O-])C3=CC=CC=C13,H2O,anion,11.0,-0.445
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3O,H2O,anion,7.0,-0.385
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3O,H2O,anion,11.0,-0.415
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3N,H2O,anion,7.0,-0.435
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3N,H2O,anion,11.0,-0.48
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(O)=C13,H2O,anion,7.0,-0.249
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(O)=C13,H2O,anion,11.0,-0.304
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(N)=C13,H2O,anion,7.0,-0.408
[O]C1C2=CC=CC=C2C([O-])C3=C(O)C=CC(N)=C13,H2O,anion,11.0,-0.414
[O]C1C2=CC=CC=C2C([O-])C3=C(N)C=CC(N)=C13,H2O,anion,7.0,-0.41
[O]C1C2=CC=CC=C2C([O-])C3=C(N)C=CC(N)=C13,H2O,anion,11.0,-0.424
OC1=CC=CC2=C1C(C3=C(C(O)=CC=C3)C2[O])[O-],H2O,anion,7.0,-0.306
OC1=CC=CC2=C1C(C3=C(C(O)=CC=C3)C2[O])[O-],H2O,anion,11.0,-0.34
OC1=CC=CC2=C1C(C3=C(C=CC=C3O)C2[O])[O-],H2O,anion,7.0,-0.325
OC1=CC=CC2=C1C(C3=C(C=CC=C3O)C2[O])[O-],H2O,anion,11.0,-0.405
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC(S(=O)([O-])=O)=C3,iso-propyl alcohol,anion,7.0,-0.266
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC(S(=O)([O-])=O)=C3,H2O,anion,7.0,-0.39
OC1C2=CC=CC=C2C(O)C3=C1C=CC(S(=O)([O-])=O)=C3,H2O,neutral,7.0,-0.076
OC1C2=CC=CC=C2C(O)C3=C1C=CC(S(=O)([O-])=O)=C3,iso-propyl alcohol,neutral,7.0,-0.228
[O]C1C2=CC=CC=C2C([O-])C3=C1C=CC=C3S(=O)([O-])=O,iso-propyl alcohol,anion,7.0,-0.218
[O]C1C2=CC=CC=C2C([O-])C3=C1C(O)=CC(S(=O)([O-])=O)=C3O,H2O,anion,7.0,-0.27
O=S(C1=CC(C(C2=C(O)C=CC(O)=C2C3[O])[O-])=C3C=C1)([O-])=O,H2O,anion,7.0,-0.249
OCCNCCNC1=C(C(C2=C(O)C=CC(O)=C2C3[O-])[O])C3=C(NCCNCCO)C=C1,H2O,anion,7.0,-0.527
CC(OCCNCCNC1=C2C(C(C3=CC=CC=C3C2[O-])[O])=C(NCCNCCOC(C)=O)C=C1)=O,H2O,anion,7.0,-0.348
OC(C1=C(O)C=CC(O)=C1C2O)C3=C2C(O)=C(O)C=C3,H2O,neutral,13.5,-0.073
[O-]C1C=CC([O])C2=C(C)N(C)C(C3=CC=CC=C3)=C12,H2O,anion,7.0,-0.44
CC1=C(C)C(C2=C3N(CCC3)C=C2C1[O])[O-],H2O,anion,7.0,-0.42
CC1=C(C)C(C2=C(C3=CC=CC=C3)N(C)C(C)=C2C1[O])[O-],H2O,anion,7.0,-0.423
